PROGRAM	BYTES	BYTES_CF	BPS	C_TIME (s)	C_MEM (GB)	D_TIME (s)	D_MEM (GB)	DIFF	RUN
JARVIS3_BIN	699930	168612	1.927	4.000	0.003	4.000	0.003	0	1	-cm 1:1:0:0/1:0:1:0
JARVIS3_BIN	699930	168615	1.927	3.000	0.003	3.000	0.003	0	2	-cm 1:1:0:0/1:1:1:0
JARVIS3_BIN	699930	168609	1.927	4.000	0.003	3.000	0.003	0	3	-cm 1:1:1:0/1:0:1:0
JARVIS3_BIN	699930	168616	1.927	3.000	0.003	3.000	0.003	0	4	-cm 1:1:1:0/1:1:1:0
JARVIS3_BIN	699930	168614	1.927	3.000	0.003	4.000	0.003	0	5	-cm 1:1:2:0/1:0:1:0
JARVIS3_BIN	699930	168619	1.927	3.000	0.003	4.000	0.003	0	6	-cm 1:1:2:0/1:1:1:0
JARVIS3_BIN	699930	167654	1.916	3.000	0.003	3.000	0.003	0	7	-cm 2:1:0:0/1:0:1:0
JARVIS3_BIN	699930	167676	1.916	3.000	0.003	3.000	0.003	0	8	-cm 2:1:0:0/1:1:1:0
JARVIS3_BIN	699930	167636	1.916	3.000	0.003	3.000	0.003	0	9	-cm 2:1:1:0/1:0:1:0
JARVIS3_BIN	699930	167660	1.916	3.000	0.003	3.000	0.003	0	10	-cm 2:1:1:0/1:1:1:0
JARVIS3_BIN	699930	167675	1.916	3.000	0.003	3.000	0.003	0	11	-cm 2:1:2:0/1:0:1:0
JARVIS3_BIN	699930	167703	1.916	3.000	0.003	3.000	0.003	0	12	-cm 2:1:2:0/1:1:1:0
JARVIS3_BIN	699930	166921	1.907	3.000	0.003	3.000	0.003	0	13	-cm 3:1:0:0/1:0:1:0
JARVIS3_BIN	699930	166956	1.908	3.000	0.003	3.000	0.003	0	14	-cm 3:1:0:0/1:1:1:0
JARVIS3_BIN	699930	166913	1.907	3.000	0.003	3.000	0.003	0	15	-cm 3:1:1:0/1:0:1:0
JARVIS3_BIN	699930	166937	1.908	3.000	0.003	3.000	0.003	0	16	-cm 3:1:1:0/1:1:1:0
JARVIS3_BIN	699930	167044	1.909	3.000	0.003	3.000	0.003	0	17	-cm 3:1:2:0/1:0:1:0
JARVIS3_BIN	699930	167058	1.909	3.000	0.003	3.000	0.003	0	18	-cm 3:1:2:0/1:1:1:0
JARVIS3_BIN	699930	166476	1.902	3.000	0.003	3.000	0.003	0	19	-cm 4:1:0:0/1:0:1:0
